"Lentes de Stock Rango
Extendido",,,,,,,,,,
,,,,,,,,,,
ORGANICO BLUE LIGHT C/AR,,,,,,,,,,
1.56,,ORGANICO BLUE LIGHT C/AR,,Stock,,,"Esf +/- 6,00 // Esf/cil +6,00 / -2,00 // -6,00 / +2,00",,"$6,775",
1.56,,ORGANICO BLUE LIGHT C/AR,,Rango Extendido,,,"Esf/cil +4,00 / -4,00 // -4,00 / -4,00",,"$14,750",
,,,,,,,,,,
,,,,,,,,,,
"ORGANICO SUPER BLUE 1,60 ASFERICO AR SUPER HIDROFOBICO",,,,,,,,,,
1.60,Organico Super Blue Asf C/AR,,,,Stock,,,"Esf +/- 6,00 // Esf/cil +4,00 / +2,00 // -6,00 / +2,00",,"$20,899"
1.60,Organico Super Blue Asf C/AR,,,,Rango Extendido,,,"Esf/cil -10.00 / -2.00 // +6,00 / -4,00 // -7,00 / -4,00",,"$23,313"
"1,74",rganico Super Blue Asf C/AR,,,,Rango Extendido Plus,,,"Esf/cil -10,25 / -2,00 // -12,00 / -2,00 // -12,25 / -15,00",,"$218,813"
,,,,,,,,,,
ORGANICO FOTOCROMATICO C/AR,,,,,,,,,,
1.56,Organico Fotocromatico C/ AR Gris,,,,Stock,,"Esf +/- 4,00 // Esf/cil +4,00 / -2,00 // -4,00 / +2,00",,,"$18,840"
1.56,Organico Fotocromatico C/ AR Gris RANGO EXTENDIDO,,,,Stock,," Esf/cil +4,00 / -4,00 // -4,00 / +4,00",,,"$39,800"
,,,,,,,,,,
ORGANICO FOTOCROMATICO BLUE C/AR,,,,,,,,,,
1.56,,Blue Fotocromatico C/ AR Gris,Stock,,,"Esf +/- 4,00 // Esf/cil +4,00 / -2,00 // -4,00 / +2,00",,,,"$41,800"
1.60,,Super Blue Fotocromatico C/AR Gris,Stock,,,"Esf +/- 4,00 // Esf/cil +4,00 / -2,00 // -4,00 / +2,00",,,,$66.500
,,,,,,,,,,
,,,,,,,,,,
MONOFOCAL LABORATORIO,,,,,,,,,,
,,,,,,,,,,
"1.56    Organico Blue Light 1,56","+8,00 a -12,00","+/- 6,00","$38,316","$60,014",,,,,,
"1.56    Organico Blue Light 1,56 Antirreflex BLOCK","+8,00 a -12,00","+/- 6,00","$60,260","$90,095",,,,,,
"1.60 Organico Super Blue Light 1,60","+8,00 a -12,00","+/- 6,00","$68,780","$102,833",,,,,,
"1.60 Organico Super Blue Light 1,60 Antirreflex BLOCK","+8,00 a -12,00","+/- 6,00","$90,409","$135,171",,,,,,
"1,56 Organico Fotocromatico Gris","8,00 a -12,00","+/- 6,00","$56,563","$84,567",,,,,,
"1,56 Organico Fotocromatico BLUE","8,00 a -12,00","+/- 6,00","$79,055","$123,823",,,,,,
"1,56 Organico Fotocromatico BLUE Antirreflex BLOCK","8,00 a -12,00","+/- 6,00","$96,437","$151,432",,,,,,
,,,,,,,,,,
,,,,,,,,,,
BIFOCAL,,,,,,,,,,
Organico Blue Light Cut,"+5,50 a -4,00","+/- 4,00","1,00 a 3,50","$ 43,000",,,,,,
Organico Fotocromatico,"+5,50 a -4,00","+/- 4,00","1,00 a 3,50","$ 60,520",,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MULTIFOCALES DIGITALES,,,,,,,,,,
,,ONE (HD Clásico),NEW (HD Plus ),FREE (HD Premium),PRO (HD Élite),,,,,
,,El punto de entrada a la tecnología digital.,Mejora en la amplitud del corredor visual.,Minimización de aberraciones laterales y transición suave.,"Tallado de máxima precisión, diseño personalizado",,,,,
Organico BLUE LIGHT,1.56,"$ 71,148","$ 111,020","$ 155,428","$ 171,385",,,,,
Organico BLUE LIGHT ANTIRREFLEX BLOCK,1.56,"$ 91,580","$ 130,852","$ 175,260","$ 191,217",,,,,
Org Fotocromatico Grey,1.56,"$ 84,964","$ 131,465","$ 184,050","$ 202,946",,,,,
Org Fotocromatico Grey ANTIRREFLEX BLOCK,1.56,"$ 104,796","$ 151,297","$ 203,882","$ 222,778",,,,,
