"Producto","Precio"
"[Lentes de Stock] Organico Blue Light Cut c/ Antirreflex (Índice: 1.56, Tipo: Stock, Graduación: Esf +/- 6.00 // Esf/Cil +6.00 / -2.00 // -6.00 / +2.00)","$7,684"
"[Lentes de Stock] Organico Blue Light Cut c/ Antirreflex (Índice: 1.56, Tipo: Rango Extendido, Graduación: Esf/Cil +4.00 / -4.00 // -4.00 / -4.00)","$16,730"
"[Lentes de Stock] Organico Super Blue Asférico c/ Antirreflex Super Hidrofóbico (Índice: 1.60, Tipo: Stock, Graduación: Esf +/- 6.00 // Esf/Cil +4.00 / +2.00 // -6.00 / +2.00)","$23,704"
"[Lentes de Stock] Organico Super Blue Asférico c/ Antirreflex Super Hidrofóbico (Índice: 1.60, Tipo: Rango Extendido, Graduación: Esf/Cil -10.00 / -2.00 // +6.00 / -4.00 // -7.00 / -4.00)","$26,442"
"[Lentes de Stock] Organico Super Blue Asférico c/ Antirreflex Super Hidrofóbico (Índice: 1.74, Tipo: Rango Extendido Plus, Graduación: Esf/Cil -10.25 / -2.00 // -12.00 / -2.00 // -12.25 / -15.00)","$248,178"
"[Lentes de Stock] Organico Fotocromático Gris c/ Antirreflex (Índice: 1.56, Tipo: Stock, Graduación: Esf +/- 4.00 // Esf/Cil +4.00 / -2.00 // -4.00 / +2.00)","$21,369"
"[Lentes de Stock] Blue Fotocromático Gris c/ Antirreflex (Índice: 1.56, Tipo: Stock, Graduación: Esf +/- 4.00 // Esf/Cil +4.00 / -2.00 // -4.00 / +2.00)","$47,410"
"[Lentes de Stock] Super Blue Fotocromático Gris c/ Antirreflex (Índice: 1.60, Tipo: Stock, Graduación: Esf +/- 4.00 // Esf/Cil +4.00 / -2.00 // -4.00 / +2.00)","$75,424"
"[Monofocal Lab] 1.56 Orgánico Blue Light - Tallado Tradicional CNC (Esferas: +8.00 a -12.00, Cilindros: +/- 6.00)","$43,458"
"[Monofocal Lab] 1.56 Orgánico Blue Light - Tallado Digital (Esferas: +8.00 a -12.00, Cilindros: +/- 6.00)","$68,068"
"[Monofocal Lab] 1.56 Orgánico Blue Light c/ Antirreflex Block - Tallado Tradicional CNC (Esferas: +8.00 a -12.00, Cilindros: +/- 6.00)","$68,347"
"[Monofocal Lab] 1.56 Orgánico Blue Light c/ Antirreflex Block - Tallado Digital (Esferas: +8.00 a -12.00, Cilindros: +/- 6.00)","$102,186"
"[Monofocal Lab] 1.60 Orgánico Super Blue Light - Tallado Tradicional CNC (Esferas: +8.00 a -12.00, Cilindros: +/- 6.00)","$78,011"
"[Monofocal Lab] 1.60 Orgánico Super Blue Light - Tallado Digital (Esferas: +8.00 a -12.00, Cilindros: +/- 6.00)","$116,633"
"[Monofocal Lab] 1.60 Orgánico Super Blue Light c/ Antirreflex Block - Tallado Tradicional CNC (Esferas: +8.00 a -12.00, Cilindros: +/- 6.00)","$102,542"
"[Monofocal Lab] 1.60 Orgánico Super Blue Light c/ Antirreflex Block - Tallado Digital (Esferas: +8.00 a -12.00, Cilindros: +/- 6.00)","$153,311"
"[Monofocal Lab] 1.56 Orgánico Fotocromático Gris - Tallado Tradicional CNC (Esferas: 8.00 a -12.00, Cilindros: +/- 6.00)","$64,153"
"[Monofocal Lab] 1.56 Orgánico Fotocromático Gris - Tallado Digital (Esferas: 8.00 a -12.00, Cilindros: +/- 6.00)","$95,916"
"[Monofocal Lab] 1.56 Orgánico Fotocromático BLUE - Tallado Tradicional CNC (Esferas: 8.00 a -12.00, Cilindros: +/- 6.00)","$89,664"
"[Monofocal Lab] 1.56 Orgánico Fotocromático BLUE - Tallado Digital (Esferas: 8.00 a -12.00, Cilindros: +/- 6.00)","$140,440"
"[Monofocal Lab] 1.56 Orgánico Fotocromático BLUE c/ Antirreflex Block - Tallado Tradicional CNC (Esferas: 8.00 a -12.00, Cilindros: +/- 6.00)","$109,379"
"[Monofocal Lab] 1.56 Orgánico Fotocromático BLUE c/ Antirreflex Block - Tallado Digital (Esferas: 8.00 a -12.00, Cilindros: +/- 6.00)","$171,754"
"[Monofocal Lab] 1.56 Orgánico Fotocromático Smart Color - Tallado Tradicional CNC (Esferas: +5.00 a -8.00, Cilindros: +/- 5.00) [Colores: Brown/Green/Blue/Pink/Purple]","$140,641"
"[Monofocal Lab] 1.56 Orgánico Fotocromático Smart Color - Tallado Digital (Esferas: +5.00 a -8.00, Cilindros: +/- 5.00) [Colores: Brown/Green/Blue/Pink/Purple]","$179,204"
